month,total_visits,general_patients,insurance_patients,daily_revenue_idr,petty_cash_used,supplies_cost,insurance_claims_submitted,insurance_claims_paid
2023-01,820,471,349,41233478,2552451,3953556,349,334
2023-02,610,323,287,32044492,2714947,7100000,287,273
2023-03,780,436,344,37066653,2562489,3192986,344,329
2023-04,800,452,348,40262524,2555649,5154032,348,333
2023-05,830,470,360,42879796,2962297,4684119,360,350
2023-06,870,458,412,46591334,2834829,4572573,412,397
2023-07,980,528,452,51451545,3205889,3228700,452,431
2023-08,860,459,401,46752834,3221327,5332210,401,385
2023-09,810,427,383,41530358,3463483,5049103,383,365
2023-10,850,471,379,43165255,3657713,4029678,379,372
2023-11,900,514,386,49856926,3258403,5221590,386,369
2023-12,1020,545,475,57096100,3886769,3755874,475,465
